 acw_events.2.d: "[SCOPE.sCharacter('slaver_ig_leader').GetFullName]的一名奴隶从[SCOPE.sCharacter('slaver_ig_leader').GetHerHis]的庄园逃往了北方的自由州。[SCOPE.sCharacter('slaver_ig_leader').GetLastName]要求将那名奴隶遣返，而废奴主义者则呼吁对[SCOPE.sCharacter('slaver_ig_leader').GetHerHis]的要求不予理睬。"
 agitators_law_events.21.a.tt: "[SCOPE.sCharacter('supporting_agitator').GetFullName]将因反对君主的罪行被定罪入狱。"
 agitators_law_events.23.d: "[SCOPE.sCharacter('supporting_agitator').GetFullName]的活动催生了共和主义者和支持更大选举权的人之间的显著联盟。那些支持更民主的[ROOT.GetCountry.GetGovernment.GetName]而不是共和国的人很快就会被边缘化。"
 agitators_law_events.24.d: "在[SCOPE.sCharacter('suspected_general_scope').GetFullName]等几名具有改革意识的军官的部队中，发现了与[SCOPE.sCharacter('supporting_agitator').GetFullName]关系密切的人士。这些情况让人担心起是否会有人发动针对[ROOT.GetCountry.GetRuler.GetPrimaryRoleTitle]的军事政变。"
 agitators_law_events.25.d: "[SCOPE.sCharacter('supporting_agitator').GetFullName]的鼓动导致了[SCOPE.sState('capital_scope').GetStateRegion.GetCityHubName]的游行，主张支持更大范围的选举权，并扩大人民的政治权利。"
 agitators_law_events.26.d: "在[SCOPE.sState('capital_scope').GetName]的一个改革派沙龙上，[SCOPE.sCharacter('supporting_agitator').GetFullName]发表了特别热烈的演讲，谴责[SCOPE.gsInterestGroup('landowners_ig').GetName]不仅与民主作对，还与全体人民作对。"
 agitators_law_events.27.d: "[SCOPE.sCharacter('supporting_agitator').GetFullName]出席在[SCOPE.sState('capital_scope').GetStateRegion.GetCityHubName]举行的激进派改革协会会议提高了公众对该协会的认识，并使警方对其采取行动变得更加困难。"
 agitators_law_events.28.d: "在一本特别沉闷的浪漫小说的幌子下，[SCOPE.sCharacter('supporting_agitator').GetFullName]设法通过审查委员会获得了一个巧妙的反政府小说，其中的潜台词提倡言论自由并拒绝它所认为的“专制”。"
 agitators_law_events.29.d: "有位警方内部的匿名人士提交了一份据称是同情[SCOPE.sCharacter('supporting_agitator').GetFullName]事业的官员名单。按这封信的内容，这些官员已在悄悄拒绝履行审查职责。"
 agitators_law_events.30.d: "[SCOPE.gsInterestGroup('newspaper_ig').GetName]旗下一家颇受欢迎的报纸刊登了[SCOPE.sCharacter('supporting_agitator').GetFullName]的一篇大胆文章，呼吁废除审查制度。以该报在政府的支持者中的受欢迎程度，甚至使禁止它也成为了冒险行为。"
 ig_type_matches_former_tt: "[SCOPE.sCharacter('exile_temp').GetFullName]与[SCOPE.gsInterestGroup('exile_ig_scope').GetName]拥有相同的利益集团类型"
 exiles_events.1.d: "面对[SCOPE.sCharacter('agitator_scope').GetHerHis]的想法缺乏民众支持的情况，[SCOPE.sCharacter('agitator_scope').GetFullName]离开了[ROOT.GetCountry.GetName]，流亡到我们的国门。"
 exiles_events.2.d: "在咖啡馆偶遇并进行深思熟虑的谈话后，[SCOPE.sCharacter('friend_scope').GetFullName]推荐了[SCOPE.sCharacter('exile_scope').GetFullName]，此人目前住在[ROOT.GetCountry.GetName]，已经获得了永久居留权。"
 exiles_events.2.b: "[SCOPE.sCharacter('friend_scope').GetFullName]的决策显然值得商榷。"
 exiles_events.3.d: "[SCOPE.gsInterestGroup('exile_ig').GetName]在[SCOPE.sPoliticalMovement('movement_scope').GetName]运动中的领袖们写信给[SCOPE.sCharacter('exile_scope').GetFullName]，请求[SCOPE.sCharacter('exile_scope').GetSheHe]回国推进运动。"
 exiles_events.4.d: "在为争夺[ROOT.GetCountry.GetName]权力进行的暴力斗争后，[SCOPE.gsInterestGroup('failed_revolution_ig').GetName]站在了历史的失败的一边。[SCOPE.sCharacter('failed_revolution_agitator').GetFullName]已设法逃离该国以逃避报复。"
 exiles_events.5.d: "[SCOPE.sCharacter('exile_scope').GetFullName]对我们政府最近做出的决定感到很高兴，[SCOPE.sCharacter('exile_scope').GetHerHis]宣布打算返回[ROOT.GetCountry.GetName]。[SCOPE.sCharacter('exile_scope').GetHerHis|U]在[SCOPE.gsInterestGroup('exile_ig').GetName]的其余伙伴正在为此庆祝。"
 exiles_events.7.d: "长期以来，[ROOT.GetCountry.GetAdjective]相对宽松的移民制度对逃离祖国的人颇具吸引力。最近，[SCOPE.sCharacter('exile_scope').GetFullName]申请加入移民[ROOT.GetCountry.GetName]的大潮。"
 exiles_events.7.a: "[SCOPE.sCharacter('exile_scope').GetFullName]最终也将成为[ROOT.GetCountry.GetAdjective]人。"
 exiles_events.8.d: "最近[SCOPE.sCharacter('exile_scope').GetFullName]的翻译作品在[SCOPE.sPoliticalMovement('movement_scope').GetName]运动中越来越流行。这种关系已经发展到[SCOPE.sCharacter('exile_scope').GetFullName]公开支持该运动的地步。"
 exiles_events.9.d: "[SCOPE.gsInterestGroup('government_ig_scope').GetName]已向政府请愿，要求特赦国外的前持不同政见者。尤其包括其前同事[SCOPE.sCharacter('exile_scope').GetFullName]。"
 exiles_events.10.d: "著名的[ROOT.GetCountry.GetAdjective]政治流亡者[SCOPE.sCharacter('exile_scope').GetFullName]在海外期间病重。[SCOPE.sCharacter('exile_scope').GetSheHe|U]已请求回家，以便有足够的时间寻医问药。"
 agitators_election_events.1.d: "为了声援[SCOPE.sParty('agitator_party_scope').GetName]，[SCOPE.sCharacter('agitator_scope').GetFullName]鼓励[SCOPE.sCharacter('agitator_scope').GetHerHis]的支持者在正在进行的选举中投票支持它。"
 agitators_election_events.2.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]在[SCOPE.sState('debate_state').GetStateRegion.GetName]为[SCOPE.sParty('agitator_party_scope').GetName]拉票时，遇见了代表[SCOPE.sParty('agitator_2_party_scope').GetName]的[SCOPE.sCharacter('agitator_scope_2').GetFullName]。他们之间爆发了一场激烈的辩论。"
 agitators_election_events.2.a: "[SCOPE.sCharacter('agitator_scope').GetFullName]更具说服力。"
 agitators_election_events.2.b: "[SCOPE.sCharacter('agitator_scope_2').GetFullName]的论据显然更好。"
 agitators_election_events.3.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]发表了对[ROOT.GetCountry.GetAdjective]选举制度的谴责，称之为为安抚人民而装出来的骗局，[SCOPE.sCharacter('agitator_scope').GetSheHe]呼吁放弃在选举中投票。"
 agitators_election_events.4.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]发表谴责[SCOPE.sParty('opposition_party_scope').GetName]的讲话后，开始动员忠诚的支持者们在选举中反对它。"
 agitators_election_events.5.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]批评了[SCOPE.sCharacter('agitator_scope').GetHerHis]自己的[SCOPE.sParty('agitator_party_scope').GetName]领导层做出的许多决定，称[SCOPE.sCharacter('agitator_ig_leader_scope').GetFullName]过于谨慎，不愿解决关键问题。"
 agitators_election_events.6.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]的倡导使[SCOPE.sParty('agitator_party_scope').GetName]在女性中获得了更大的选举人气，她们急于行使新获得的投票权。"
 agitators_election_events.7.d: "通过与[SCOPE.sParty('agitator_party_scope').GetName]合作，[SCOPE.sCharacter('agitator_scope').GetFullName]达成了一笔交易，以廉价且快速分发的小册子来支持该党。"
 agitators_election_events.8.d: "隶属于[SCOPE.gsInterestGroup('snubbed_ig_scope').GetName]的[SCOPE.sParty('agitator_party_scope').GetName]的分支提出投诉，[SCOPE.sCharacter('agitator_scope').GetFullName]对政治背书的选择令其支持者遭到忽视。"
 agitators_election_events.8.f: "“既然它引起了我的注意，我必须高度重视。虽然[SCOPE.sCharacter('agitator_scope').GetFullNameNoFormatting]的行为无疑是善意的，但其中包含的建议似乎排除了该党的某些成员，这些人早已表现出有足够的活力、善意和坚定的目标。”"
 agitators_election_events.9.d: "在支持选举权的姿态方面，[SCOPE.sCharacter('agitator_scope').GetFullName]对[SCOPE.sParty('agitator_party_scope').GetName]支持的很积极，因为它坚定地支持 [ROOT.GetCountry.GetName]境内的投票权。"
 agitators_election_events.10.d: "在动荡不安的[SCOPE.sState('tumultuous_state_scope').GetName]为[SCOPE.sParty('agitator_party_scope').GetName]竞选时，[SCOPE.sCharacter('agitator_scope').GetFullName]遭到一群身份不明的袭击者的袭击和残忍殴打。"
 agitators_election_events.11.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]在[SCOPE.sState('communist_agitation_state').GetName]进行的特别有效的煽动引发了人们对[SCOPE.sParty('agitator_party_scope').GetName]在这个选举周期中的最终目标的质疑。"
 agitators_election_events.12.d: "随着[SCOPE.sParty('agitator_party_scope').GetName]竞选基金的稳固建立，[SCOPE.sCharacter('agitator_scope').GetFullName]向党的领导层提议，可以将这些资金中的一部分重新用于党的更秘密的活动。"
 agitators_election_events.13.d: "以[SCOPE.sCharacter('agitator_scope').GetFullName]为首的[SCOPE.sParty('agitator_party_scope').GetName]组织者前往农村，以在[ROOT.GetCountry.GetAdjective]农民中建立阶级意识。"
 agitators_election_events.14.d: "由[SCOPE.sCharacter('agitator_scope').GetFullName]领导的支持[SCOPE.sParty('agitator_party_scope').GetName]的大规模集会在[SCOPE.sState('capital_scope').GetName]举行，吸引了整个地区的共产党支持者。集会上使用的言辞引起了人们对即将发生的暴力事件的担忧。"
 agitators_election_events.15.d: "[SCOPE.sParty('fascist_party_scope').GetName]在最近的[ROOT.GetCountry.GetAdjective]大选中的优势，迫使[SCOPE.sCharacter('agitator_scope').GetFullName]和[SCOPE.sParty('agitator_party_scope').GetName]的领导层提议左翼和自由派联合起来对抗法西斯主义。"
 agitators_election_events.17.d: "为了获得更多对[SCOPE.sParty('agitator_party_scope').GetName]的支持，[SCOPE.sCharacter('agitator_scope').GetFullName]和几名高级党员已与[SCOPE.gsInterestGroup('industrialists_scope').GetName]接洽，以推动旨在确保资本与[SCOPE.sParty('agitator_party_scope').GetName]政府之间合作的政策。"
 agitators_election_events.18.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]指出“共产主义者和共产主义同情团体”给[ROOT.GetCountry.GetAdjective]带来了明显而现实的危险，呼吁以[SCOPE.sParty('agitator_party_scope').GetName]为后盾，组织一场民族团结运动，以打败共产主义。"
 agitators_election_events.19.d: "在最近的一次演讲中，[SCOPE.sCharacter('agitator_scope').GetFullName]直接以[SCOPE.sCountry('scary_communist_country').GetName]为例，说明如果[SCOPE.sParty('agitator_party_scope').GetName]不上台，[ROOT.GetCountry.GetAdjective]社会将会面临什么。根据[SCOPE.sCharacter('agitator_scope').GetHerHim]的说法，只有[SCOPE.sCharacter('agitator_scope').GetSheHe]才能将国家从共产主义中拯救出来。"
 agitators_election_events.20.d: "支持[SCOPE.sParty('agitator_party_scope').GetName]的一伙人在[SCOPE.sState('hate_crime_state').GetName]对[SCOPE.sCulture('hate_crime_culture').GetName]人犯下了一系列暴力和侮辱的罪行。[SCOPE.sParty('agitator_party_scope').GetName]的反对者指责[SCOPE.sCharacter('agitator_scope').GetFullName]的极端言论煽动了这次袭击。"
 agitators_election_events.21.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]代表[SCOPE.sParty('agitator_party_scope').GetName]开始拜访[ROOT.GetCountry.GetName]各个农村和偏远地区，寻求登记选民，并确保在那些难以到达的社区收集选票。"
 agitators_election_events.22.d: "由[SCOPE.sCharacter('agitator_scope').GetFullName]组织带头的[SCOPE.sParty('agitator_party_scope').GetName]已经开始了一场流行的运动，他们着重希望在这快速且可怕变化的时代保护农村价值观。"
 agitators_election_events.23.d: "[SCOPE.sCharacter('armed_forces_leader').GetFullName]和[SCOPE.sCharacter('agitator_scope').GetFullName]之间关于人民在军事指挥中的作用的争论引发了[SCOPE.sParty('agitator_party_scope').GetName]和[SCOPE.sParty('armed_forces_party_scope').GetName]之间的口水战。"
 agitators_election_events.24.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]发起的反对[ROOT.GetCountry.GetAdjective]政府殖民政策的运动出人意料地广受欢迎，导致公众对[SCOPE.sParty('agitator_party_scope').GetName]纲领的兴趣大大增加。"
 agitators_election_events.25.d: "近来工业扩张到了[SCOPE.sState('industry_enroachment_state').GetName]的农村，[SCOPE.sCharacter('agitator_scope').GetFullName]在当地展开了一场[SCOPE.sParty('agitator_party_scope').GetName]竞选活动，强调希望解决该地区工厂现在普遍存在的令人不快的烟雾问题。"
 agitators_election_events.25.f: "[SCOPE.sCharacter('agitator_scope').GetSheHe]骑马经过时，遮天蔽日的浓烟似乎映入了村民的眼中。与[SCOPE.sCharacter('agitator_scope').GetSheHe]所预料的阳光灿烂的日子不同，这篇演讲将伴随着永远存在的阴霾。\n\n这没关系。[SCOPE.sCharacter('agitator_scope').GetFullNameNoFormatting]抬头仰望天空，想象云层遮蔽人们的心，这时[SCOPE.sCharacter('agitator_scope').GetHerHis]的脑海中闪过一种崭新修辞的景象。工人们开始立起演讲台时，[SCOPE.sCharacter('agitator_scope').GetSheHe]开始提笔书写。"
 agitators_election_events.26.d: "作为他们选举纲领的主要部分，[SCOPE.sCharacter('agitator_scope').GetFullName]和[SCOPE.sParty('agitator_party_scope').GetName]领导层已经开始了一场激进的运动，旨在与[SCOPE.sParty('communist_party_scope').GetName]的革命社会主义意识形态保持距离。"
 agitators_election_events.27.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]发起了一场专门的运动，组织[SCOPE.sState('socdem_agitation_state').GetName]的贫困城市工人，将他们塑造成一个有凝聚力和强大的支持[SCOPE.sParty('agitator_party_scope').GetName]的投票集团。"
 agitators_election_events.28.d: "利用[SCOPE.sCharacter('agitator_scope').GetFullName]在[SCOPE.gsInterestGroup('trade_union_ig').GetName]中的关系，[SCOPE.sParty('agitator_party_scope').GetName]获得了大量的忠诚且坚定的工会选民。"
 agitators_election_events.29.d: "对可能出现的[SCOPE.sParty('agitator_party_scope').GetName]政府，为避免上流社会为之感到恐惧，[SCOPE.sCharacter('agitator_scope').GetFullName]与富有且有影响力的人士进行了一系列会谈，强调改革仍然坚持[ROOT.GetCountry.GetAdjective]价值观的重要性。"
 agitators_election_events.30.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]展开的竞选活动强调[SCOPE.sParty('agitator_party_scope').GetName]支持选举权的纲领，并承诺如果党派当选，会扩大社会各个阶层的投票权利。"
 agitators_election_events.31.d: "[SCOPE.sParty('agitator_party_scope').GetName]陷入了一则小丑闻，[SCOPE.sCharacter('agitator_scope').GetFullName]年轻时写的一篇改良主义小说又开始流传。虽然热情洋溢，但这是该作品的唯一优点。"
 agitators_election_events.31.b: "这是[SCOPE.sCharacter('agitator_scope').GetFullName]的问题，无关政党。"
 agitators_election_events.32.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]代表[SCOPE.sParty('agitator_party_scope').GetName]在[SCOPE.sState('capital_scope').GetCityHubName]的一座公园里向数百人发表演讲。演讲结束时，人们已经对任何奴隶制概念深恶痛绝。"
 agitators_election_events.33.d: "开会讨论想法时，[SCOPE.sCharacter('agitator_scope').GetFullName]和[SCOPE.gsInterestGroup('opposition_ig_scope').GetLeader.GetFullName]享受了一次文明而富有启发性的谈话。本来大多数人预计会发生争吵。"
 agitators_election_events.33.b: "[SCOPE.sCharacter('agitator_scope').GetFullName]的行为应该受到表扬。"
 agitators_election_events.34.d: "为了让民族主义的浪潮有利于[SCOPE.sParty('agitator_party_scope').GetName]，[SCOPE.sCharacter('agitator_scope').GetFullName]在[SCOPE.sState('capital_scope').GetCityHubName]的一座公园举行了一场爱国主义演讲。"
 agitators_election_events.35.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]今天的演讲重点是[GetLawType('law_right_of_assembly').GetName]，以及[SCOPE.sParty('agitator_party_scope').GetName]为确保该法所做的努力。人们从四方涌来听这场演讲。"
 agitators_election_events.35.a: "[SCOPE.sCharacter('agitator_scope').GetFullName]说得有道理……"
 agitators_election_events.36.d: "有人发现[SCOPE.sCharacter('agitator_scope').GetFullName]和[SCOPE.gsInterestGroup('devout_ig').GetLeader.GetFullName]正在讨论即将举行的选举。翌日，宣传者们歌颂着[SCOPE.sParty('agitator_party_scope').GetName]的美德。"
 agitators_election_events.37.d: "[SCOPE.sCountry('revolutionary_nation_scope').GetName]陷入了[SCOPE.gsInterestGroup('revolutionary_ig').GetName]的革命。在[SCOPE.sParty('agitator_party_scope').GetName]的竞选材料中，[SCOPE.sCharacter('agitator_scope').GetFullName]立即声讨了这里的[SCOPE.gsInterestGroup('patsy_ig').GetName]，先发制人地发动了一场类似的反抗。"
 agitators_election_events.38.d: "应邀代表[SCOPE.sParty('agitator_party_scope').GetName]发表讲话时，[SCOPE.sCharacter('agitator_scope').GetFullName]开始歌颂家庭稳固、国境牢固、人民强健的美德。公众的反应喜忧参半。"
 agitators_election_events.39.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]向[SCOPE.gsInterestGroup('rf_scope').GetName]提议，要求他们在选举中支持[SCOPE.sParty('agitator_party_scope').GetName]。[SCOPE.sCharacter('rf_leader_scope').GetFullName]至少承认了这次会谈。"
 agitators_election_events.39.c: "他们应该提防[SCOPE.sCharacter('rf_leader_scope').GetFullName]的精明头脑。"
 agitators_election_events.40.d: "在为[SCOPE.sParty('agitator_party_scope').GetName]最富有的支持者举行的晚会上，[SCOPE.sCharacter('agitator_scope').GetFullName]开始滔滔不绝地咆哮奴隶制和种族歧视的优点。"
 agitators_election_events.41.d: "[SCOPE.gsInterestGroup('devout_ig').GetName]正式谴责了[SCOPE.sCharacter('agitator_scope').GetFullName]，因为其在一份[SCOPE.sParty('agitator_party_scope').GetName]报纸上发表了一篇鼓吹颠覆性社会政策的非常规文章。"
 agitators_election_events.42.d: "[SCOPE.sCharacter('monarch_scope').GetPrimaryRoleTitle][SCOPE.sCharacter('monarch_scope').GetFullName]渴望得到[SCOPE.sCharacter('monarch_scope').GetHerHis]的臣民的认可，这激发了[SCOPE.sCharacter('agitator_scope').GetFullName]进一步推动[SCOPE.sParty('agitator_party_scope').GetName]的观点。"
 agitators_election_events.43.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]走上街头，鼓励[SCOPE.sCulture('discriminated_culture_scope').GetName]人采取不那么传统的民主方式来支持[SCOPE.sParty('agitator_party_scope').GetName]。"
 agitators_election_events.44.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]对[SCOPE.sParty('anti_democratic_party').GetName]为少数开明人士争取民主的主张采取了激烈的立场。这个案子虽然简单，但却是对[SCOPE.sParty('agitator_party_scope').GetName]在[GetLawType('law_universal_suffrage').GetName]问题上的立场的有效背书。"
 agitators_election_events.45.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]在[SCOPE.sState('capital_scope').GetCityHubName]的王室场合上突然出现，发表了一则简短的声明：[SCOPE.sParty('agitator_party_scope').GetName]完全致力于建立一个共和国。"
 agitators_election_events.46.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]为[SCOPE.gsInterestGroup('industrialists_ig').GetName]的精英们举办了一场晚会。贿赂伪装成捐款，易手进入[SCOPE.sParty('agitator_party_scope').GetName]。"
 agitators_election_events.47.d: "在争取额外支持的竞选活动中，[SCOPE.sCharacter('agitator_scope').GetFullName]以[SCOPE.sCountry('friendly_country_scope').GetName]为例说明[SCOPE.sParty('agitator_party_scope').GetName]将如何加强对外关系。"
 agitators_election_events.48.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]指责[SCOPE.gsInterestGroup('armed_forces_ig').GetName]公然的好战行为，[SCOPE.sParty('agitator_party_scope').GetName]和[SCOPE.sParty('armed_forces_party').GetName]之间的选举紧张局势加剧。"
 agitators_election_events.48.b: "[SCOPE.sCharacter('agitator_scope').GetFullName]应该管好自己，别关心[SCOPE.sParty('agitator_party_scope').GetName]之外的事务。"
 agitators_election_events.48.c: "也许新组建一个军团可以缓解[SCOPE.sCharacter('agitator_scope').GetFullName]的困境。"
 agitators_election_events.49.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]在为[SCOPE.sParty('agitator_party_scope').GetName]竞选时，提倡[GetLawType('law_free_trade').GetName]和[GetLawType('law_no_migration_controls').GetName]的理想，以便其他人可以分享[ROOT.GetCountry.GetAdjective]的成功。[SCOPE.sCharacter('trade_union_leader_scope').GetFullName]指责[SCOPE.sCharacter('agitator_scope').GetHerHim]剥削移民。"
 agitators_election_events.50.d: "[SCOPE.sCharacter('agitator_scope').GetFullName]的一个大胆举动导致大伙在一个关系密切的问题上公开决裂：[SCOPE.sParty('agitator_party_scope').GetName]明确支持童工。"
 agitators_election_events.50.c: "也许[SCOPE.sCharacter('trade_union_leader_scope').GetFullName]想派一个代表团去[SCOPE.sCharacter('agitator_scope').GetFullName]的工作场所"
 single_party_state.6.d: "由于[SCOPE.sParty('ruling_party').GetName]使许多国家事务完全停滞，[SCOPE.sCharacter('communist_leader_scope').GetFullName]指挥下的共产主义民兵占领了[SCOPE.sState('capital_scope').GetName]各地的重要建筑，宣告“资产阶级专政”的终结。"
 historical_agitators.1.d: "[SCOPE.sCharacter('historic_agitator_scope').GetFullName]在西伯利亚流亡三年后，刚回来就与工会的同事会面，讨论下一步行动。"
 historical_agitators.2.d: "[SCOPE.sCharacter('historic_agitator_scope').GetFullName]为了逃避牢狱之灾从国外归来，在试图重新入境[ROOT.GetCountry.GetName]时被捕。"
 historical_agitators.3.d: "[SCOPE.sCharacter('historic_agitator_scope').GetFullName]因其革命观点服刑期间，悄悄越狱。之后，他重新加入了[ROOT.GetCountry.GetName]各地无数其他革命者的行列。"
 historical_agitators.4.d: "[ROOT.GetCountry.GetName]崛起的女权主义派系遭遇了分裂。[SCOPE.sCharacter('historic_agitator_scope').GetFullName]随后成立了一个新的激进组织。"
 historical_agitators.5.d: "由于对废除奴隶制缺乏进展感到不满，[SCOPE.sCharacter('historic_agitator_scope').GetFullName]已开始动用每一位反奴隶制枪手来帮助奴隶逃离主人。"
 historical_agitators.6.d1: "在[SCOPE.sCharacter('historic_agitator_scope').GetFullName]的领导下，一本新的出版物曝光了。该出版物的内容之一是，[SCOPE.sCharacter('alfred_dreyfus_scope').GetFullName]应该被献祭在[ROOT.GetCountry.GetAdjective]国家利益的祭坛上。"
 historical_agitators.6.d2: "在[SCOPE.sCharacter('historic_agitator_scope').GetFullName]的领导下，一本新的出版物曝光了。该出版物中论述的[ROOT.GetCountry.GetName]计划中支持激进的国家反犹太主义和反动的专制民族主义。"
 historical_agitators.7.d: "[SCOPE.sCharacter('historic_agitator_scope').GetFullName]正式抵达了[ROOT.GetCountry.GetName]，人们对此反应不一，有些人称他为害虫，还有些人认为他目光长远。"
 historical_agitators.8.d: "经历了出国旅行和失败政变的磨砺后，[SCOPE.sCharacter('historic_agitator_scope').GetFullName]返回了[ROOT.GetCountry.GetAdjective]边境。"
 historical_agitators.9.d: "[SCOPE.sState('california_scope').GetName]地区的居民[SCOPE.sCharacter('historic_agitator_scope').GetFullName]宣布自己为皇帝。他开始颁布自己的法令，人们印刷了印有他肖像的货币。"
 historical_agitators.9.f: "“在美利坚绝大多数公民的强烈恳求下，我，来自好望角阿尔戈阿湾，且在加利福尼亚州旧金山，定居9年又10个月的[SCOPE.sCharacter('historic_agitator_scope').GetFullNameNoFormatting]，正式宣布加冕合众国皇帝……”"
 historical_agitators.10.d: "[SCOPE.sCharacter('historic_agitator_scope').GetFullName]，一名被剥夺继承权的亲王家族之子，已返回了[ROOT.GetCountry.GetName]。他的活动似乎具有颠覆性。"
 historical_agitators.11.d: "[SCOPE.sCharacter('historic_agitator_scope').GetFullName]未服满兵役即离开军队，要求前往柏林学习。"
 historical_agitators.12.d: "在[SCOPE.sState('trotsky_state').GetName]进行的一次突击搜查中查明了二百多名南俄罗斯工人工会的成员。其中，有一个叫[SCOPE.sCharacter('historic_agitator_scope').GetFullName]的青年。"
 historical_agitators.13.d: "一名因煽动叛乱而被捕的前炮兵军官[SCOPE.sCharacter('historic_agitator_scope').GetFullName]上尉逃出了西伯利亚。追捕者认为他正逃亡南方。"
 historical_agitators.14.d: "[SCOPE.sCharacter('historic_agitator_scope').GetFullName]越来越厌倦运营《[SCOPE.sState('capital_scope').GetCityHubName]每日新闻》，选择在国外度过一段时间。"
 historical_agitators.15.d: "波兰爆发了一场灾难性的罢工，无产阶级政党的领导人因叛国被处决。一些成员，包括[SCOPE.sCharacter('historic_agitator_scope').GetFullName]，已经逃离。"
 historical_agitators.16.d: "[SCOPE.sCharacter('historic_agitator_scope').GetFullName]最近出版了《论暴力》，表明他与激进左派结盟，并与正统的社会主义理论决裂。"
 historical_agitators.17.d: "[SCOPE.sCharacter('historic_agitator_scope').GetFullName]回应了整个武装部队的情绪，呼吁对[SCOPE.sCountry('revenge_country').GetName]进行报复，获得雷鸣般的掌声。"
 lv_4_general_tt: "[SCOPE.sCharacter('historic_agitator_scope').GetFullName]将被晋升至$commander_rank_4_general$[Concept('concept_commander_rank', '军衔')]"
 lv_2_general_tt: "[SCOPE.sCharacter('historic_agitator_scope').GetFullName]将被晋升至$commander_rank_2_general$[Concept('concept_commander_rank', '军衔')]"
 historical_agitators.18.d: "刚刚重返政坛的[SCOPE.sCharacter('historic_agitator_scope').GetFullName]受邀就[ROOT.GetCountry.GetAdjective]宪法发表公开演讲。"
 historical_agitators.19.d: "圣保罗内外的密谈都提到了一份新报纸#italic 《跛脚恶魔》#!。这只是自学成才的律师[SCOPE.sCharacter('historic_agitator_scope').GetFullName]为其供稿的众多出版物之一。"
 historical_agitators.19.f: "一名被解放的奴隶和一名外国漫画家之间的新伙伴关系风靡这座城市。犀利、机智、赏心悦目；它注定要弄乱圣保罗每只孔雀的羽毛。[SCOPE.sCharacter('historic_agitator_scope').GetFullName]有一项艰巨的任务摆在他面前：不亚于[ROOT.GetCountry.GetNameNoFormatting]每个奴隶的自由。"
 historical_agitators.20.d: "随着[SCOPE.sCharacter('ruler_scope').GetFullName]开始集权，[SCOPE.sCharacter('historic_agitator_scope').GetFullName]谴责[SCOPE.sCharacter('ruler_scope').GetPrimaryRoleTitle]为[ROOT.GetCountry.GetName]的叛徒。"
 imprison_hugo_tt: "[SCOPE.sCharacter('historic_agitator_scope').GetFullName]将被送到魔鬼岛"
 historical_agitators.21.d: "线人知悉了中华改革社的存在。泄露出的消息包括在[SCOPE.sState('sunyatsen_state').GetName]起义的详尽计划，其成员现已被捕。其中一名领导人[SCOPE.sCharacter('historic_agitator_scope').GetFullName]已逃过了追捕。"
 jaroslaw_in_prison_tt: "[SCOPE.sCharacter('historic_agitator_scope').GetFullName]将被送回更恶劣的监狱"
 luddite_law_events.5.b: "也许我们可以听听[SCOPE.sCharacter('intelligentsia_leader').GetFullName]说的话。"
 revolution_pulse_events.2.d: "最近[SCOPE.gsInterestGroup('blatant_fedposting_ig').GetName]的激进支持者在[SCOPE.sState('blatant_fedposting_state').GetStateRegion.GetName]制造炸弹袭击后，调查部门发现这些人持有一套[SCOPE.sCharacter('fedposting_agitator').GetFullName]的作品。"
 revolution_pulse_events.2.b: "将此事件的宣传口径定调为[SCOPE.sCharacter('fedposting_agitator').GetFullName]呼吁对无辜者实施恐怖主义。"
 revolution_pulse_events.3.d2: "[SCOPE.sState('dual_power_state').GetStateRegion.GetName]的[SCOPE.gsInterestGroup('dual_power_ig').GetName]，在[SCOPE.sCharacter('dual_power_agitator').GetFullName]的言论的启发下，建立了一个与我们自己的政府相抗衡的工农委员会，声称能更好地代表该地区人民的意志。"
 revolution_pulse_events.7.d: "一群代表[SCOPE.gsInterestGroup('petition_march_ig').GetName]的请愿者，在[SCOPE.sCharacter('petition_march_leader').GetFullName]的带领下，到[SCOPE.sCharacter('petition_march_ruler').GetPrimaryRoleTitle]目前不住的[SCOPE.sState('petition_march_state').GetStateRegion.GetCityHubName]官邸进行游行。 在[SCOPE.sCharacter('petition_march_ruler').GetPrimaryRoleTitle]同意与他们会面之前，他们拒绝离开那里。"
